id,_notes,questions,options
89,Portfolio Management and Wealth Planning,"If a company has a one-day 10% Value at Risk of USD1 million, this means:","A. 10% of the time the ﬁrm is expected to lose at least USD1 million in one day.
B. 90% of the time the ﬁrm is expected to lose at least USD1 million in one day.
C. 10% of the time the ﬁrm is expected to lose no more than USD1 million in one day."
90,Portfolio Management and Wealth Planning,One of the key advantages of technical analysis over fundamental analysis is that:,"A. technical analysts have actual and observable data available to arrive at the results.
B. technical analysis incorporates the relevant economic data to arrive at the results.
C. technical analysis can be effectively put into use for thinly traded stocks."
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
