difficulty	stability	retrievability	delta_t	reps	lapses	last_date	due	r_history	t_history	p_history	states	time	factor
8.72	17.71	0.99	2.0	6	7	297.0	316	3,2,4,3,3,3,1,3,2,4,2,2,1,3,1,1,4,1,2,1,4,3,3,2,2,1,3,3,2,3,3,4	0,1.0,2.0,6.0,15.0,38.0,95.0,1.0,3.0,4.0,11.0,13.0,16.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,6.0,9.0,11.0,13.0,1.0,3.0,5.0,6.0,8.0,11.0	0.3,0.98,0.96,0.95,0.94,0.92,0.91,0.99,0.97,0.96,0.93,0.92,0.90,0.97,0.93,0.94,0.90,0.82,0.91,0.84,0.87,0.80,0.90,0.92,0.90,0.88,0.97,0.92,0.90,0.88,0.89,0.89	tensor([17.7110,  8.7177])	0.05	1.45
6.84	224.26	0.96	80.0	6	1	219.0	567	2,3,4,1,3,3,3,3,4,3	0,1.0,3.0,10.0,1.0,3.0,7.0,17.0,42.0,134.0	0.19,0.92,0.91,0.92,0.97,0.93,0.91,0.89,0.87,0.87	tensor([224.2628,   6.8375])	0.02	2.6
8.71	97.85	0.87	132.0	7	1	167.0	348	3,2,3,1,3,3,2,4,3,3,3	0,1.0,2.0,5.0,1.0,3.0,6.0,7.0,18.0,39.0,84.0	0.3,0.98,0.96,0.94,0.96,0.92,0.90,0.89,0.85,0.85,0.84	tensor([97.8517,  8.7149])	0.02	2.15
6.25	100.75	0.93	66.0	5	1	233.0	336	3,2,3,3,2,4,3,1,2,4,4,4,3	0,1.0,2.0,5.0,12.0,14.0,40.0,94.0,1.0,2.0,5.0,14.0,42.0	0.3,0.98,0.96,0.94,0.93,0.92,0.91,0.90,0.99,0.97,0.95,0.92,0.91	tensor([100.7499,   6.2455])	0.03	2.45
3.74	566.35	0.99	28.0	7	0	271.0	745	4,2,3,3,3,3,4	0,4.0,5.0,12.0,28.0,66.0,155.0	0.33,0.96,0.95,0.94,0.93,0.92,0.91	tensor([566.3496,   3.7449])	0.01	2.5
6.24	230.02	0.94	137.0	8	0	162.0	490	1,3,2,2,4,3,4,4	0,1.0,3.0,4.0,5.0,14.0,33.0,101.0	0.19,0.91,0.88,0.84,0.81,0.81,0.83,0.84	tensor([230.0183,   6.2381])	0.02	2.65
1.28	469.8	0.96	157.0	5	0	142.0	452	4,4,3,3,4	0,4.0,13.0,34.0,90.0	0.33,0.96,0.95,0.94,0.93	tensor([469.8007,   1.2847])	0.01	2.8
8.71	46.59	0.85	76.0	5	2	223.0	305	1,4,1,2,4,3,3,3,1,4,4,2,3,3	0,1.0,4.0,1.0,2.0,6.0,15.0,37.0,91.0,1.0,4.0,12.0,14.0,34.0	0.19,0.91,0.89,0.94,0.88,0.84,0.84,0.83,0.82,0.98,0.94,0.91,0.90,0.86	tensor([46.5903,  8.7084])	0.03	2.4
1.95	343.49	0.99	20.0	5	1	279.0	549	2,3,4,4,4,1,4,4,2,4,4	0,1.0,3.0,10.0,34.0,124.0,1.0,4.0,15.0,18.0,68.0	0.19,0.92,0.91,0.92,0.93,0.92,0.99,0.97,0.95,0.94,0.93	tensor([343.4934,   1.9493])	0.03	3.2
1.28	459.05	0.96	164.0	5	0	135.0	435	4,3,4,3,4	0,4.0,10.0,33.0,87.0	0.33,0.96,0.95,0.95,0.93	tensor([459.0527,   1.2810])	0.01	2.8
4.98	260.03	0.95	118.0	7	0	181.0	409	4,2,3,3,2,4,3	0,4.0,5.0,12.0,28.0,34.0,97.0	0.33,0.96,0.95,0.94,0.93,0.92,0.92	tensor([260.0284,   4.9815])	0.01	2.35
7.39	125.04	0.84	70.0	6	3	299.0	499	3,2,3,1,3,4,4,2,2,1,3,3,4,4,1,3,3,3,4,3,4	0,1.0,2.0,5.0,1.0,3.0,8.0,24.0,29.0,35.0,1.0,3.0,6.0,15.0,41.0,1.0,3.0,6.0,12.0,32.0,70.0	0.3,0.98,0.96,0.94,0.96,0.92,0.91,0.91,0.89,0.87,0.98,0.94,0.91,0.87,0.88,0.98,0.95,0.91,0.88,0.84,0.84	tensor([125.0425,   7.3855])	0.04	2.35
8.71	97.87	0.9	101.0	8	1	198.0	422	2,3,1,3,3,2,2,3,3,4,3	0,1.0,3.0,1.0,3.0,7.0,8.0,10.0,20.0,40.0,104.0	0.19,0.92,0.91,0.93,0.88,0.85,0.84,0.80,0.79,0.77,0.77	tensor([97.8667,  8.7075])	0.02	2.15
2.85	450.09	0.97	121.0	7	0	178.0	536	3,3,4,3,2,4,4	0,1.0,3.0,10.0,27.0,32.0,104.0	0.3,0.98,0.96,0.95,0.93,0.92,0.92	tensor([450.0937,   2.8454])	0.02	2.8
1.93	572.92	0.98	126.0	6	0	173.0	649	2,3,4,4,4,4	0,1.0,3.0,10.0,34.0,124.0	0.19,0.92,0.91,0.92,0.93,0.92	tensor([572.9230,   1.9321])	0.02	3.1
8.42	91.99	0.83	167.0	7	0	132.0	320	1,3,4,2,3,3,3	0,1.0,3.0,10.0,12.0,30.0,75.0	0.19,0.91,0.88,0.89,0.87,0.85,0.84	tensor([91.9898,  8.4212])	0.01	2.5
4.42	279.56	0.95	131.0	6	0	168.0	473	2,4,4,3,3,3	0,1.0,4.0,14.0,39.0,109.0	0.19,0.92,0.92,0.93,0.92,0.91	tensor([279.5572,   4.4163])	0.01	2.8
4.73	340.52	0.96	131.0	6	0	168.0	565	1,4,4,3,3,4	0,1.0,4.0,14.0,39.0,109.0	0.19,0.91,0.89,0.91,0.90,0.88	tensor([340.5178,   4.7320])	0.01	2.95
8.74	27.71	0.92	22.0	5	1	277.0	316	2,3,3,3,3,4,1,2,3,2,4,3	0,1.0,3.0,8.0,20.0,50.0,163.0,1.0,2.0,5.0,6.0,17.0	0.19,0.92,0.91,0.91,0.90,0.89,0.89,0.99,0.98,0.95,0.95,0.89	tensor([27.7073,  8.7354])	0.02	2.3
6.25	216.82	0.94	117.0	7	1	182.0	447	3,3,3,1,2,3,2,4,4,4,3	0,1.0,3.0,8.0,1.0,2.0,4.0,5.0,13.0,36.0,108.0	0.3,0.98,0.96,0.94,0.97,0.94,0.92,0.90,0.86,0.88,0.89	tensor([216.8245,   6.2455])	0.02	2.45
10.0	4.03	0.95	2.0	2	3	297.0	301	2,1,3,3,3,3,3,2,1,2,3,3,2,4,1,3,2	0,1.0,1.0,3.0,7.0,16.0,37.0,85.0,102.0,1.0,2.0,4.0,7.0,8.0,17.0,1.0,3.0	0.19,0.92,0.88,0.83,0.83,0.83,0.81,0.79,0.76,0.98,0.96,0.94,0.91,0.90,0.88,0.97,0.92	tensor([ 4.0270, 10.0000])	0.03	1.45
5.31	315.71	0.98	44.0	6	2	255.0	641	3,4,4,1,3,4,1,2,3,4,4,3,3	0,1.0,4.0,14.0,1.0,3.0,10.0,1.0,2.0,5.0,16.0,53.0,143.0	0.3,0.98,0.96,0.95,0.98,0.96,0.95,0.97,0.95,0.93,0.91,0.91,0.90	tensor([315.7056,   5.3072])	0.03	2.7
4.39	518.14	0.99	52.0	7	0	247.0	809	2,3,3,3,3,4,4	0,1.0,3.0,8.0,20.0,50.0,163.0	0.19,0.92,0.91,0.91,0.90,0.89,0.89	tensor([518.1423,   4.3894])	0.02	2.8
4.08	301.4	0.95	144.0	7	0	155.0	415	3,3,4,3,2,3,4	0,1.0,3.0,10.0,27.0,32.0,80.0	0.3,0.98,0.96,0.95,0.93,0.92,0.91	tensor([301.3989,   4.0819])	0.02	2.65
8.71	66.77	0.86	98.0	9	2	201.0	369	2,1,4,3,1,2,2,3,3,2,4,2,3,4	0,1.0,1.0,4.0,10.0,1.0,2.0,3.0,6.0,12.0,14.0,33.0,40.0,72.0	0.19,0.92,0.88,0.85,0.87,0.96,0.92,0.89,0.85,0.83,0.80,0.81,0.78,0.78	tensor([66.7699,  8.7075])	0.03	1.95
6.24	172.73	0.9	166.0	7	1	133.0	320	1,2,3,1,3,2,2,4,4,3,4	0,1.0,2.0,5.0,1.0,3.0,4.0,5.0,12.0,31.0,67.0	0.19,0.91,0.83,0.81,0.92,0.84,0.80,0.76,0.82,0.88,0.88	tensor([172.7271,   6.2418])	0.02	2.3
7.46	218.13	1.0	9.0	9	1	290.0	615	2,4,2,3,1,2,2,3,2,3,3,4,4,3	0,1.0,4.0,5.0,13.0,1.0,2.0,3.0,6.0,7.0,13.0,24.0,58.0,151.0	0.19,0.92,0.92,0.90,0.90,0.97,0.94,0.91,0.88,0.86,0.84,0.82,0.81,0.85	tensor([218.1337,   7.4608])	0.03	2.15
8.71	48.49	0.92	37.0	5	2	262.0	352	1,3,4,4,3,1,2,1,4,3,3,4,2	0,1.0,3.0,10.0,34.0,95.0,1.0,2.0,1.0,4.0,10.0,24.0,75.0	0.19,0.91,0.88,0.89,0.90,0.89,0.99,0.97,0.96,0.89,0.87,0.85,0.85	tensor([48.4891,  8.7084])	0.03	2.4
4.08	352.42	0.97	94.0	7	0	205.0	550	3,2,4,3,4,3,3	0,1.0,2.0,6.0,15.0,49.0,130.0	0.3,0.98,0.96,0.95,0.94,0.93,0.92	tensor([352.4207,   4.0783])	0.02	2.65
4.07	440.69	0.98	90.0	7	0	209.0	615	3,3,3,3,3,3,4	0,1.0,3.0,8.0,20.0,50.0,125.0	0.3,0.98,0.96,0.94,0.93,0.92,0.91	tensor([440.6949,   4.0745])	0.01	2.65
5.94	370.65	0.98	52.0	7	0	247.0	809	1,3,3,3,3,4,4	0,1.0,3.0,8.0,20.0,50.0,163.0	0.19,0.91,0.88,0.87,0.86,0.84,0.84	tensor([370.6483,   5.9407])	0.02	2.8
6.23	197.05	0.96	74.0	6	4	225.0	483	2,3,1,3,4,4,1,3,4,1,3,3,4,1,2,3,4,4,3,4	0,1.0,3.0,1.0,3.0,9.0,29.0,1.0,3.0,9.0,1.0,3.0,7.0,21.0,1.0,2.0,4.0,11.0,33.0,81.0	0.19,0.92,0.91,0.93,0.88,0.87,0.89,0.98,0.94,0.90,0.96,0.91,0.86,0.81,0.97,0.93,0.90,0.85,0.87,0.87	tensor([197.0524,   6.2279])	0.04	2.6
2.84	659.13	0.99	52.0	7	0	247.0	809	3,3,3,3,3,4,4	0,1.0,3.0,8.0,20.0,50.0,163.0	0.3,0.98,0.96,0.94,0.93,0.92,0.92	tensor([659.1288,   2.8380])	0.02	2.8
4.07	349.89	0.96	140.0	7	0	159.0	468	3,2,4,3,3,3,4	0,1.0,2.0,6.0,15.0,38.0,95.0	0.3,0.98,0.96,0.95,0.94,0.92,0.91	tensor([349.8901,   4.0709])	0.02	2.65
3.76	303.98	0.96	119.0	6	0	180.0	412	4,3,3,3,2,4	0,4.0,10.0,25.0,63.0,76.0	0.33,0.96,0.95,0.94,0.93,0.92	tensor([303.9783,   3.7550])	0.01	2.5
5.97	127.81	0.9	125.0	6	0	174.0	323	1,3,4,4,4,2	0,1.0,3.0,10.0,34.0,124.0	0.19,0.91,0.88,0.89,0.90,0.90	tensor([127.8132,   5.9686])	0.01	2.8
4.09	223.1	0.92	175.0	6	0	124.0	328	3,4,3,3,3,3	0,1.0,4.0,11.0,29.0,77.0	0.3,0.98,0.96,0.94,0.93,0.92	tensor([223.0989,   4.0893])	0.01	2.65
1.0	677.8	0.98	125.0	6	0	174.0	650	3,3,4,4,4,4	0,1.0,3.0,10.0,34.0,124.0	0.3,0.98,0.96,0.95,0.94,0.94	tensor([677.7968,   1.0000])	0.02	3.1
8.75	51.48	0.77	136.0	9	0	163.0	304	2,2,3,2,3,4,2,2,4	0,1.0,2.0,5.0,6.0,13.0,37.0,44.0,53.0	0.19,0.92,0.85,0.88,0.86,0.85,0.85,0.82,0.79	tensor([51.4783,  8.7457])	0.02	2.2
6.21	111.04	0.96	46.0	6	4	253.0	344	4,2,4,3,1,2,3,2,3,2,4,1,3,3,2,3,4,1,4,1,4,2,4,3,4,4	0,4.0,5.0,15.0,38.0,1.0,2.0,4.0,5.0,10.0,12.0,29.0,1.0,3.0,5.0,6.0,10.0,21.0,1.0,4.0,1.0,4.0,5.0,10.0,17.0,38.0	0.33,0.96,0.95,0.95,0.94,0.98,0.97,0.96,0.95,0.93,0.91,0.87,0.98,0.94,0.92,0.90,0.88,0.87,0.97,0.91,0.95,0.87,0.84,0.86,0.89,0.90	tensor([111.0424,   6.2140])	0.05	2.0
8.09	159.88	0.98	35.0	9	0	264.0	574	2,4,3,2,2,3,2,4,3	0,1.0,4.0,11.0,13.0,16.0,38.0,46.0,132.0	0.19,0.92,0.92,0.92,0.90,0.88,0.87,0.85,0.83	tensor([159.8799,   8.0859])	0.02	2.35
8.41	71.92	0.81	154.0	7	0	145.0	328	1,3,3,3,3,2,4	0,1.0,3.0,8.0,20.0,50.0,60.0	0.19,0.91,0.88,0.87,0.86,0.84,0.82	tensor([71.9220,  8.4138])	0.01	2.5
3.76	198.83	0.94	118.0	6	0	181.0	325	4,2,3,4,4,2	0,4.0,5.0,12.0,37.0,120.0	0.33,0.96,0.95,0.94,0.94,0.94	tensor([198.8307,   3.7551])	0.01	2.5
7.46	127.86	0.95	60.0	5	3	239.0	491	1,4,1,4,4,4,1,3,3,3,1,3,3,4,4,3	0,1.0,4.0,1.0,4.0,14.0,50.0,1.0,3.0,8.0,22.0,1.0,3.0,8.0,26.0,90.0	0.19,0.91,0.89,0.94,0.87,0.88,0.89,0.98,0.96,0.92,0.88,0.97,0.93,0.86,0.80,0.83	tensor([127.8604,   7.4608])	0.03	2.8
3.75	274.66	0.93	176.0	6	0	123.0	325	4,3,2,3,3,4	0,4.0,10.0,12.0,28.0,66.0	0.33,0.96,0.95,0.94,0.93,0.92	tensor([274.6591,   3.7476])	0.01	2.5
1.62	495.23	0.98	96.0	6	0	203.0	622	3,4,4,3,4,3	0,1.0,4.0,14.0,39.0,142.0	0.3,0.98,0.96,0.95,0.94,0.93	tensor([495.2285,   1.6237])	0.01	2.95
5.94	254.17	0.94	134.0	7	0	165.0	520	1,3,2,4,4,3,4	0,1.0,3.0,4.0,12.0,39.0,103.0	0.19,0.91,0.88,0.84,0.83,0.87,0.86	tensor([254.1675,   5.9408])	0.02	2.8
6.86	135.31	0.87	177.0	7	0	122.0	305	2,3,3,2,3,4,3	0,1.0,3.0,8.0,10.0,24.0,73.0	0.19,0.92,0.91,0.91,0.88,0.87,0.88	tensor([135.3110,   6.8588])	0.01	2.5
6.52	194.54	0.93	123.0	9	0	176.0	408	3,3,2,2,3,4,2,3,4	0,1.0,3.0,4.0,5.0,11.0,31.0,37.0,81.0	0.3,0.98,0.96,0.95,0.94,0.92,0.91,0.90,0.89	tensor([194.5370,   6.5181])	0.02	2.35
3.75	401.79	0.98	91.0	7	0	208.0	523	4,2,3,4,2,3,4	0,4.0,5.0,12.0,37.0,44.0,103.0	0.33,0.96,0.95,0.94,0.94,0.93,0.92	tensor([401.7898,   3.7486])	0.01	2.5
7.47	130.92	0.93	84.0	7	2	215.0	352	2,2,2,1,3,1,2,4,4,3,3,4,2	0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,5.0,12.0,23.0,45.0,114.0	0.19,0.92,0.85,0.79,0.88,0.80,0.89,0.80,0.83,0.90,0.91,0.91,0.91	tensor([130.9211,   7.4728])	0.02	1.95
2.52	307.09	0.95	155.0	5	0	144.0	383	4,4,3,3,3	0,4.0,13.0,34.0,90.0	0.33,0.96,0.95,0.94,0.93	tensor([307.0929,   2.5249])	0.01	2.65
8.35	53.96	0.92	41.0	5	1	258.0	392	1,2,3,4,3,4,1,3,3,3,3,4	0,1.0,2.0,5.0,15.0,38.0,124.0,1.0,3.0,7.0,17.0,42.0	0.19,0.91,0.83,0.81,0.82,0.83,0.85,0.99,0.96,0.93,0.88,0.82	tensor([53.9566,  8.3492])	0.03	2.6
5.0	404.24	0.99	21.0	6	3	278.0	650	2,2,2,2,1,4,3,3,1,4,1,4,4,4,3,3,4	0,1.0,2.0,3.0,4.0,1.0,4.0,8.0,16.0,1.0,4.0,1.0,4.0,10.0,27.0,59.0,130.0	0.19,0.92,0.85,0.79,0.74,0.88,0.81,0.87,0.88,0.97,0.91,0.94,0.86,0.90,0.92,0.91,0.91	tensor([404.2397,   4.9997])	0.03	2.35
6.2	276.29	0.98	57.0	7	1	242.0	548	4,1,3,2,4,3,3,3,3	0,4.0,1.0,3.0,4.0,11.0,25.0,58.0,133.0	0.33,0.96,0.96,0.94,0.92,0.93,0.92,0.91,0.90	tensor([276.2934,   6.1979])	0.02	2.3
2.55	175.43	0.96	74.0	5	1	225.0	333	4,4,3,4,1,3,3,2,4,4	0,4.0,13.0,34.0,117.0,1.0,3.0,8.0,10.0,32.0	0.33,0.96,0.95,0.94,0.94,0.99,0.98,0.96,0.95,0.94	tensor([175.4305,   2.5480])	0.02	2.75
5.97	214.25	0.93	136.0	6	0	163.0	460	1,4,3,4,3,3	0,1.0,4.0,11.0,38.0,106.0	0.19,0.91,0.89,0.89,0.90,0.88	tensor([214.2525,   5.9686])	0.01	2.8
1.28	459.05	0.96	162.0	5	0	137.0	437	4,3,4,3,4	0,4.0,10.0,33.0,87.0	0.33,0.96,0.95,0.95,0.93	tensor([459.0527,   1.2810])	0.01	2.8
6.23	89.92	0.92	67.0	5	2	232.0	332	1,3,1,3,3,3,3,4,1,2,3,4,4,4	0,1.0,3.0,1.0,3.0,7.0,16.0,37.0,111.0,1.0,2.0,4.0,11.0,32.0	0.19,0.91,0.88,0.92,0.84,0.80,0.77,0.74,0.74,0.98,0.96,0.94,0.89,0.88	tensor([89.9189,  6.2344])	0.03	2.55
3.16	376.14	0.95	168.0	6	0	131.0	459	2,3,3,4,4,4	0,1.0,3.0,8.0,26.0,90.0	0.19,0.92,0.91,0.91,0.92,0.92	tensor([376.1388,   3.1612])	0.01	2.95
6.21	204.29	0.97	63.0	8	3	236.0	396	1,2,4,4,1,3,2,4,2,1,2,2,1,2,3,3,4,3,4,4,3	0,1.0,2.0,6.0,20.0,1.0,3.0,4.0,12.0,14.0,1.0,2.0,3.0,1.0,2.0,4.0,6.0,11.0,18.0,37.0,84.0	0.19,0.91,0.83,0.84,0.87,0.97,0.93,0.91,0.85,0.83,0.96,0.92,0.89,0.92,0.86,0.84,0.86,0.88,0.90,0.91,0.92	tensor([204.2866,   6.2077])	0.04	1.9
2.85	323.93	0.94	182.0	6	0	117.0	365	3,3,4,3,3,4	0,1.0,3.0,10.0,27.0,72.0	0.3,0.98,0.96,0.95,0.93,0.92	tensor([323.9272,   2.8454])	0.01	2.8
3.16	386.29	0.96	161.0	6	0	138.0	477	2,3,4,3,4,4	0,1.0,3.0,10.0,27.0,93.0	0.19,0.92,0.91,0.92,0.91,0.92	tensor([386.2892,   3.1649])	0.01	2.95
6.23	178.45	0.94	96.0	7	0	203.0	377	4,3,2,3,3,2,3	0,4.0,10.0,12.0,28.0,66.0,79.0	0.33,0.96,0.95,0.94,0.93,0.92,0.91	tensor([178.4528,   6.2254])	0.01	2.2
7.46	132.38	0.92	99.0	6	3	200.0	348	4,1,3,4,2,3,1,3,2,1,3,4,4,3,3,3	0,4.0,1.0,3.0,9.0,11.0,25.0,1.0,3.0,4.0,1.0,3.0,7.0,17.0,35.0,72.0	0.33,0.96,0.96,0.94,0.94,0.93,0.92,0.98,0.95,0.93,0.95,0.89,0.87,0.90,0.90,0.90	tensor([132.3844,   7.4617])	0.03	2.05
4.72	304.04	0.95	152.0	6	0	147.0	493	1,3,4,4,3,4	0,1.0,3.0,10.0,34.0,95.0	0.19,0.91,0.88,0.89,0.90,0.89	tensor([304.0358,   4.7247])	0.01	2.95
4.08	436.3	0.99	50.0	7	0	249.0	681	3,3,3,3,3,4,3	0,1.0,3.0,8.0,20.0,50.0,163.0	0.3,0.98,0.96,0.94,0.93,0.92,0.92	tensor([436.2954,   4.0783])	0.01	2.65
4.72	318.21	0.95	150.0	6	0	149.0	513	1,4,3,3,4,4	0,1.0,4.0,11.0,29.0,100.0	0.19,0.91,0.89,0.89,0.88,0.89	tensor([318.2076,   4.7246])	0.01	2.95
6.22	154.96	0.97	42.0	6	5	257.0	396	2,2,1,3,3,3,3,1,3,1,3,3,4,1,3,3,4,2,4,1,4,2,4,4,4,3	0,1.0,2.0,1.0,3.0,6.0,13.0,28.0,1.0,3.0,1.0,3.0,5.0,11.0,1.0,3.0,5.0,11.0,13.0,29.0,1.0,4.0,5.0,11.0,26.0,66.0	0.19,0.92,0.85,0.88,0.80,0.80,0.78,0.76,0.97,0.92,0.94,0.86,0.86,0.86,0.96,0.90,0.89,0.87,0.85,0.85,0.97,0.92,0.90,0.88,0.90,0.91	tensor([154.9567,   6.2214])	0.05	2.1
5.98	141.15	0.94	75.0	6	0	224.0	404	1,4,4,4,3,2	0,1.0,4.0,14.0,51.0,150.0	0.19,0.91,0.89,0.91,0.91,0.89	tensor([141.1530,   5.9797])	0.01	2.8
3.77	181.0	0.95	89.0	5	1	210.0	348	4,3,3,1,4,4,3,4,2	0,4.0,10.0,25.0,1.0,4.0,13.0,34.0,115.0	0.33,0.96,0.95,0.94,0.98,0.96,0.95,0.94,0.93	tensor([181.0020,   3.7654])	0.02	2.6
3.75	272.7	0.94	155.0	6	0	144.0	359	4,3,2,3,4,3	0,4.0,10.0,12.0,28.0,86.0	0.33,0.96,0.95,0.94,0.93,0.93	tensor([272.6981,   3.7513])	0.01	2.5
6.53	194.9	0.94	116.0	8	0	183.0	411	3,2,3,3,3,2,4,3	0,1.0,2.0,5.0,12.0,28.0,34.0,97.0	0.3,0.98,0.96,0.94,0.93,0.92,0.90,0.90	tensor([194.9022,   6.5292])	0.02	2.35
1.61	472.03	0.97	152.0	6	0	147.0	493	3,3,4,4,3,4	0,1.0,3.0,10.0,34.0,95.0	0.3,0.98,0.96,0.95,0.94,0.93	tensor([472.0252,   1.6126])	0.01	2.95
4.42	279.56	0.95	128.0	6	0	171.0	476	2,4,4,3,3,3	0,1.0,4.0,14.0,39.0,109.0	0.19,0.92,0.92,0.93,0.92,0.91	tensor([279.5572,   4.4163])	0.01	2.8
7.41	168.98	0.94	90.0	7	1	209.0	418	4,3,2,1,3,2,3,4,3,3,3	0,4.0,10.0,12.0,1.0,3.0,4.0,8.0,21.0,45.0,97.0	0.33,0.96,0.95,0.94,0.97,0.95,0.93,0.91,0.90,0.90,0.89	tensor([168.9840,   7.4143])	0.02	2.15
