difficulty	stability	retrievability	delta_t	reps	lapses	last_date	due	r_history	t_history	p_history	states	time	factor
5.65	190.59	0.91	166.0	4	0	133.0	510	2,4,3,3	0,3.0,24.0,105.0	0.19,0.79,0.82,0.82	tensor([190.5886,   5.6474])	0.01	2.5
8.7	86.73	0.85	143.0	5	2	156.0	327	3,1,2,1,3,4,3,3,3	0,11.0,5.0,5.0,3.0,5.0,13.0,34.0,79.0	0.3,0.82,0.80,0.80,0.79,0.83,0.82,0.82,0.82	tensor([86.7265,  8.7010])	0.01	2.5
9.93	8.55	0.93	6.0	2	2	293.0	310	4,4,1,2,1,3,2	0,21.0,212.0,18.0,18.0,6.0,17.0	0.33,0.82,0.82,0.82,0.82,0.82,0.82	tensor([8.5518, 9.9276])	0.01	2.5
7.2	227.81	0.99	29.0	6	0	270.0	720	1,4,3,2,4,3	0,2.0,12.0,44.0,44.0,167.0	0.19,0.83,0.82,0.82,0.82,0.82	tensor([227.8121,   7.1977])	0.01	2.5
7.77	190.74	0.97	55.0	4	1	244.0	621	3,1,3,3,3,3	0,11.0,5.0,18.0,56.0,153.0	0.3,0.82,0.80,0.82,0.82,0.82	tensor([190.7408,   7.7657])	0.01	2.5
8.73	84.01	0.84	144.0	8	0	155.0	321	1,3,2,3,2,4,3,3	0,2.0,7.0,7.0,14.0,14.0,33.0,77.0	0.19,0.83,0.82,0.82,0.82,0.82,0.82,0.82	tensor([84.0126,  8.7251])	0.02	2.5
7.4	89.36	0.92	74.0	4	3	225.0	402	4,1,4,1,3,1,4,2,4,4	0,21.0,6.0,51.0,10.0,36.0,8.0,21.0,21.0,50.0	0.33,0.82,0.83,0.82,0.82,0.82,0.83,0.82,0.82,0.82	tensor([89.3616,  7.3985])	0.02	2.5
3.75	79.69	0.94	47.0	1	1	252.0	409	4,4,1,4	0,21.0,212.0,18.0	0.33,0.82,0.82,0.82	tensor([79.6895,  3.7494])	0.01	2.5
6.23	59.99	0.93	39.0	4	0	260.0	379	4,3,2,2	0,21.0,119.0,119.0	0.33,0.82,0.82,0.82	tensor([59.9877,  6.2262])	0.01	2.5
8.07	84.94	0.91	76.0	4	2	223.0	391	2,4,1,4,1,3,4,2,4	0,3.0,24.0,7.0,37.0,9.0,20.0,61.0,61.0	0.19,0.79,0.82,0.82,0.82,0.81,0.82,0.82,0.82	tensor([84.9436,  8.0712])	0.02	2.5
3.74	598.97	0.99	49.0	3	1	250.0	1433	4,1,3,4,4	0,21.0,6.0,29.0,193.0	0.33,0.82,0.83,0.82,0.82	tensor([598.9717,   3.7355])	0.01	2.5
9.96	8.09	0.83	15.0	0	7	284.0	300	2,1,2,1,1,3,1,4,2,4,1,3,2,3,1,4,4,3,1	0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,9.0,4.0,7.0,7.0,13.0,5.0,13.0,53.0,154.0	0.19,0.79,0.79,0.79,0.84,0.80,0.82,0.86,0.84,0.84,0.82,0.81,0.83,0.83,0.82,0.81,0.82,0.82,0.82	tensor([8.0931, 9.9626])	0.03	2.5
5.98	134.31	0.85	210.0	4	0	89.0	354	1,4,4,3	0,2.0,12.0,74.0	0.19,0.83,0.82,0.82	tensor([134.3087,   5.9763])	0.01	2.5
7.44	134.7	0.94	71.0	6	3	228.0	494	1,2,3,3,1,1,3,3,3,1,3,4,2,3,4,4	0,2.0,2.0,5.0,10.0,4.0,2.0,4.0,8.0,14.0,5.0,9.0,22.0,22.0,37.0,81.0	0.19,0.83,0.83,0.81,0.82,0.83,0.84,0.83,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.82	tensor([134.6974,   7.4432])	0.03	2.5
7.48	71.59	0.85	118.0	3	3	181.0	322	2,1,2,4,3,3,1,4,2,1,4,3,4	0,3.0,2.0,2.0,5.0,15.0,38.0,9.0,22.0,22.0,6.0,16.0,40.0	0.19,0.79,0.79,0.79,0.83,0.82,0.82,0.81,0.82,0.82,0.83,0.82,0.82	tensor([71.5890,  7.4849])	0.02	2.5
4.41	357.5	0.97	90.0	4	0	209.0	915	2,4,4,3	0,3.0,24.0,181.0	0.19,0.79,0.82,0.82	tensor([357.5040,   4.4108])	0.01	2.5
9.0	56.93	0.94	33.0	3	2	266.0	378	3,4,1,3,1,3,3,3	0,11.0,99.0,13.0,53.0,10.0,24.0,54.0	0.3,0.82,0.82,0.82,0.82,0.82,0.82,0.82	tensor([56.9315,  8.9985])	0.01	2.5
2.5	465.16	0.96	157.0	3	0	142.0	1061	4,3,4	0,21.0,119.0	0.33,0.82,0.82	tensor([465.1598,   2.5044])	0.01	2.5
6.23	37.86	0.92	28.0	2	1	271.0	346	4,4,1,2,3	0,21.0,212.0,18.0,18.0	0.33,0.82,0.82,0.82,0.82	tensor([37.8581,  6.2272])	0.01	2.5
4.08	219.66	0.91	187.0	3	0	112.0	546	3,4,3	0,11.0,99.0	0.3,0.82,0.82	tensor([219.6633,   4.0783])	0.01	2.5
6.87	108.34	0.92	83.0	2	1	216.0	430	2,4,3,1,4,3	0,3.0,24.0,105.0,14.0,68.0	0.19,0.79,0.82,0.82,0.82,0.82	tensor([108.3392,   6.8745])	0.01	2.5
4.08	322.36	0.97	88.0	4	0	211.0	848	3,4,2,4	0,11.0,99.0,99.0	0.3,0.82,0.82,0.82	tensor([322.3556,   4.0782])	0.01	2.5
6.2	113.71	0.98	26.0	2	2	273.0	498	4,3,1,3,1,4,4	0,21.0,119.0,14.0,60.0,11.0,46.0	0.33,0.82,0.82,0.82,0.82,0.82,0.82	tensor([113.7101,   6.2032])	0.01	2.5
4.07	658.05	1.0	2.0	4	0	297.0	1597	3,3,3,4	0,11.0,56.0,228.0	0.3,0.82,0.82,0.82	tensor([658.0472,   4.0745])	0.01	2.5
8.41	85.43	0.98	17.0	4	1	282.0	451	1,3,4,1,3,4,4,2	0,2.0,7.0,34.0,8.0,16.0,44.0,169.0	0.19,0.83,0.82,0.82,0.82,0.82,0.82,0.82	tensor([85.4301,  8.4083])	0.02	2.5
4.08	219.66	0.91	187.0	3	0	112.0	546	3,4,3	0,11.0,99.0	0.3,0.82,0.82	tensor([219.6633,   4.0783])	0.01	2.5
7.44	123.09	0.97	38.0	6	4	261.0	504	2,3,1,4,2,1,3,1,4,2,1,3,4,2,3,4,4	0,3.0,14.0,5.0,18.0,18.0,6.0,11.0,4.0,11.0,11.0,4.0,8.0,20.0,20.0,33.0,73.0	0.19,0.79,0.82,0.82,0.82,0.82,0.82,0.82,0.83,0.82,0.82,0.83,0.82,0.82,0.82,0.82,0.82	tensor([123.0888,   7.4432])	0.03	2.5
3.75	107.33	0.94	64.0	3	0	235.0	447	4,4,2	0,21.0,212.0	0.33,0.82,0.82	tensor([107.3316,   3.7484])	0.01	2.5
4.99	45.28	0.9	46.0	1	1	253.0	342	4,4,1,3	0,21.0,212.0,18.0	0.33,0.82,0.82,0.82	tensor([45.2825,  4.9896])	0.01	2.5
3.74	267.04	0.94	157.0	3	0	142.0	670	4,3,3	0,21.0,119.0	0.33,0.82,0.82	tensor([267.0356,   3.7447])	0.0	2.5
5.32	189.19	0.95	88.0	4	0	211.0	585	3,4,2,3	0,11.0,99.0,99.0	0.3,0.82,0.82,0.82	tensor([189.1936,   5.3185])	0.01	2.5
7.78	77.51	0.87	108.0	3	1	191.0	344	3,3,1,4,2,3	0,11.0,56.0,10.0,56.0,56.0	0.3,0.82,0.82,0.83,0.82,0.82	tensor([77.5087,  7.7768])	0.01	2.5
6.86	107.98	0.83	205.0	3	1	94.0	307	2,3,1,4,3,4	0,3.0,14.0,5.0,18.0,52.0	0.19,0.79,0.82,0.82,0.82,0.82	tensor([107.9818,   6.8560])	0.01	2.5
5.97	180.17	0.92	135.0	5	0	164.0	520	1,4,4,2,4	0,2.0,12.0,74.0,74.0	0.19,0.83,0.82,0.82,0.82	tensor([180.1679,   5.9706])	0.01	2.5
5.31	161.44	0.89	174.0	4	0	125.0	444	3,3,2,4	0,11.0,56.0,56.0	0.3,0.82,0.82,0.82	tensor([161.4396,   5.3111])	0.01	2.5
2.5	465.16	0.96	157.0	3	0	142.0	1061	4,3,4	0,21.0,119.0	0.33,0.82,0.82	tensor([465.1598,   2.5044])	0.01	2.5
10.0	40.22	0.84	67.0	9	3	232.0	311	1,3,1,1,1,2,3,3,3,4,3,2,3,2	0,2.0,7.0,3.0,2.0,1.0,1.0,2.0,4.0,8.0,20.0,50.0,50.0,79.0	0.19,0.83,0.82,0.84,0.82,0.86,0.86,0.85,0.83,0.82,0.82,0.82,0.82,0.82	tensor([40.2208, 10.0000])	0.02	2.5
9.92	51.22	0.92	41.0	6	2	258.0	359	2,1,3,3,3,1,3,4,2,4,2,3	0,3.0,2.0,5.0,12.0,26.0,7.0,12.0,29.0,29.0,65.0,65.0	0.19,0.79,0.79,0.81,0.81,0.82,0.82,0.83,0.82,0.82,0.82,0.82	tensor([51.2206,  9.9237])	0.02	2.5
4.97	313.0	0.96	127.0	3	1	172.0	790	4,1,3,3,4	0,21.0,6.0,29.0,113.0	0.33,0.82,0.83,0.82,0.82	tensor([313.0002,   4.9721])	0.01	2.5
6.55	96.38	0.83	173.0	4	0	126.0	316	3,3,2,3	0,11.0,56.0,56.0	0.3,0.82,0.82,0.82	tensor([96.3777,  6.5513])	0.01	2.5
7.48	138.82	0.93	101.0	6	1	198.0	472	2,4,1,2,3,2,4,3,4	0,3.0,24.0,7.0,7.0,16.0,16.0,37.0,85.0	0.19,0.79,0.82,0.82,0.82,0.82,0.82,0.82,0.82	tensor([138.8186,   7.4849])	0.02	2.5
6.87	87.54	0.88	109.0	2	1	190.0	363	2,4,3,1,3,4	0,3.0,24.0,105.0,14.0,41.0	0.19,0.79,0.82,0.82,0.82,0.82	tensor([87.5351,  6.8708])	0.01	2.5
7.8	9.52	0.99	1.0	0	1	298.0	317	3,3,3,1	0,11.0,56.0,228.0	0.3,0.82,0.82,0.82	tensor([9.5151, 7.7953])	0.0	2.5
5.3	290.82	0.95	139.0	3	1	160.0	735	3,1,4,3,4	0,11.0,5.0,30.0,111.0	0.3,0.82,0.80,0.82,0.82	tensor([290.8204,   5.3000])	0.01	2.5
4.98	181.87	0.95	82.0	2	1	217.0	576	4,3,1,3,4	0,21.0,119.0,14.0,60.0	0.33,0.82,0.82,0.82,0.82	tensor([181.8705,   4.9795])	0.01	2.5
5.31	392.67	1.0	1.0	4	0	298.0	1074	3,3,3,3	0,11.0,56.0,228.0	0.3,0.82,0.82,0.82	tensor([392.6747,   5.3148])	0.01	2.5
6.23	59.99	0.94	37.0	4	0	262.0	381	4,3,2,2	0,21.0,119.0,119.0	0.33,0.82,0.82,0.82	tensor([59.9877,  6.2262])	0.01	2.5
6.84	312.99	1.0	12.0	5	1	287.0	905	2,1,4,3,3,3,4	0,3.0,2.0,8.0,25.0,70.0,176.0	0.19,0.79,0.79,0.82,0.82,0.82,0.82	tensor([312.9895,   6.8440])	0.01	2.5
8.74	41.06	0.93	27.0	2	1	272.0	353	1,2,4,3,3,3,1,4,3	0,2.0,2.0,7.0,21.0,55.0,132.0,15.0,35.0	0.19,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.82	tensor([41.0603,  8.7354])	0.02	2.5
6.54	149.48	0.89	170.0	3	1	129.0	424	3,1,3,4,3	0,11.0,5.0,18.0,92.0	0.3,0.82,0.80,0.82,0.82	tensor([149.4808,   6.5365])	0.01	2.5
6.54	243.16	0.99	25.0	3	1	274.0	754	3,3,1,3,4,3	0,11.0,56.0,10.0,34.0,160.0	0.3,0.82,0.82,0.83,0.82,0.82	tensor([243.1624,   6.5365])	0.01	2.5
6.25	187.36	0.94	102.0	4	2	197.0	567	2,4,1,4,1,2,4,4,4	0,3.0,24.0,7.0,37.0,9.0,9.0,22.0,83.0	0.19,0.79,0.82,0.82,0.82,0.81,0.81,0.82,0.82	tensor([187.3620,   6.2483])	0.02	2.5
4.07	198.57	0.89	229.0	3	0	70.0	462	3,3,4	0,11.0,56.0	0.3,0.82,0.82	tensor([198.5656,   4.0745])	0.01	2.5
9.97	21.71	0.82	43.0	4	8	299.0	342	3,1,1,1,1,4,2,2,3,4,2,1,4,2,1,3,4,3,1,4,1,2,4,3,2	0,11.0,5.0,3.0,2.0,1.0,3.0,3.0,3.0,6.0,15.0,15.0,5.0,13.0,13.0,5.0,9.0,22.0,54.0,10.0,24.0,7.0,7.0,17.0,43.0	0.3,0.82,0.80,0.79,0.79,0.84,0.83,0.83,0.83,0.82,0.82,0.82,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82	tensor([21.7116,  9.9654])	0.04	2.5
4.07	198.57	0.89	229.0	3	0	70.0	462	3,3,4	0,11.0,56.0	0.3,0.82,0.82	tensor([198.5656,   4.0745])	0.01	2.5
7.49	68.73	0.86	102.0	3	2	197.0	333	3,3,2,1,1,4,4,3	0,11.0,56.0,56.0,10.0,4.0,11.0,46.0	0.3,0.82,0.82,0.82,0.82,0.83,0.82,0.82	tensor([68.7296,  7.4886])	0.01	2.5
7.18	190.05	0.98	30.0	7	0	269.0	644	1,2,4,4,3,2,4	0,2.0,2.0,7.0,34.0,110.0,110.0	0.19,0.83,0.83,0.82,0.82,0.82,0.82	tensor([190.0540,   7.1810])	0.02	2.5
8.71	25.11	0.87	35.0	4	7	264.0	314	2,3,1,2,4,3,1,4,3,1,4,1,3,1,2,1,3,1,4,2,4,3	0,3.0,14.0,5.0,5.0,13.0,33.0,8.0,20.0,49.0,10.0,24.0,7.0,12.0,5.0,5.0,3.0,5.0,3.0,8.0,8.0,20.0	0.19,0.79,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.81,0.80,0.83,0.81,0.82,0.82,0.82	tensor([25.1093,  8.7112])	0.04	2.5
7.46	221.01	0.99	28.0	5	1	271.0	708	2,2,3,1,3,4,3,4,3	0,3.0,3.0,10.0,4.0,8.0,20.0,49.0,170.0	0.19,0.79,0.79,0.82,0.83,0.81,0.82,0.82,0.82	tensor([221.0069,   7.4645])	0.02	2.5
4.73	593.07	1.0	10.0	5	0	289.0	1461	1,4,3,4,4	0,2.0,12.0,44.0,227.0	0.19,0.83,0.82,0.82,0.82	tensor([593.0698,   4.7303])	0.01	2.5
4.41	357.5	0.97	87.0	4	0	212.0	918	2,4,4,3	0,3.0,24.0,181.0	0.19,0.79,0.82,0.82	tensor([357.5040,   4.4108])	0.01	2.5
4.08	219.66	0.91	185.0	3	0	114.0	548	3,4,3	0,11.0,99.0	0.3,0.82,0.82	tensor([219.6633,   4.0783])	0.01	2.5
8.71	104.82	0.94	55.0	4	3	244.0	451	2,2,2,2,1,1,4,3,3,2,1,4,3,3,3	0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,9.0,24.0,24.0,7.0,17.0,43.0,98.0	0.19,0.79,0.79,0.79,0.79,0.79,0.84,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82	tensor([104.8193,   8.7149])	0.02	2.5
2.84	381.98	0.95	185.0	3	0	114.0	869	3,4,4	0,11.0,99.0	0.3,0.82,0.82	tensor([381.9819,   2.8380])	0.01	2.5
7.49	68.76	0.99	5.0	4	3	294.0	430	4,3,1,3,1,1,2,4,4,3	0,21.0,119.0,14.0,60.0,11.0,4.0,4.0,11.0,46.0	0.33,0.82,0.82,0.82,0.82,0.82,0.83,0.83,0.82,0.82	tensor([68.7603,  7.4886])	0.02	2.5
2.84	381.98	0.95	185.0	3	0	114.0	869	3,4,4	0,11.0,99.0	0.3,0.82,0.82	tensor([381.9819,   2.8380])	0.01	2.5
6.88	40.81	0.87	53.0	2	1	246.0	327	2,4,4,1,2,4	0,3.0,24.0,181.0,17.0,17.0	0.19,0.79,0.82,0.82,0.82,0.82	tensor([40.8092,  6.8782])	0.01	2.5
3.75	107.33	0.94	62.0	3	0	237.0	449	4,4,2	0,21.0,212.0	0.33,0.82,0.82	tensor([107.3316,   3.7484])	0.01	2.5
7.5	88.27	0.87	121.0	4	1	178.0	352	3,2,3,1,3,2,4,4	0,11.0,11.0,46.0,9.0,23.0,23.0,51.0	0.3,0.82,0.82,0.82,0.83,0.82,0.82,0.82	tensor([88.2739,  7.4951])	0.01	2.5
3.17	611.74	0.98	87.0	4	0	212.0	1421	2,4,4,4	0,3.0,24.0,181.0	0.19,0.79,0.82,0.82	tensor([611.7381,   3.1706])	0.01	2.5
2.5	465.16	0.96	155.0	3	0	144.0	1063	4,3,4	0,21.0,119.0	0.33,0.82,0.82	tensor([465.1598,   2.5044])	0.01	2.5
2.84	381.98	0.95	185.0	3	0	114.0	869	3,4,4	0,11.0,99.0	0.3,0.82,0.82	tensor([381.9819,   2.8380])	0.01	2.5
6.25	104.13	0.82	205.0	3	3	94.0	300	1,1,2,3,3,1,2,3,3,2,1,4,4,4	0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,8.0,8.0,4.0,10.0,42.0	0.19,0.83,0.87,0.87,0.85,0.83,0.85,0.85,0.83,0.82,0.82,0.80,0.82,0.82	tensor([104.1331,   6.2483])	0.02	2.5
5.94	424.55	1.0	7.0	7	0	292.0	1131	1,2,3,4,4,3,4	0,2.0,2.0,5.0,15.0,66.0,198.0	0.19,0.83,0.83,0.81,0.82,0.82,0.82	tensor([424.5500,   5.9371])	0.02	2.5
4.98	353.93	0.99	46.0	3	1	253.0	952	4,1,3,4,3	0,21.0,6.0,29.0,193.0	0.33,0.82,0.83,0.82,0.82	tensor([353.9298,   4.9758])	0.01	2.5
8.67	20.54	0.91	18.0	2	2	281.0	322	4,2,4,1,2,1,4,3	0,21.0,21.0,179.0,17.0,17.0,6.0,16.0	0.33,0.82,0.82,0.82,0.82,0.82,0.81,0.82	tensor([20.5397,  8.6736])	0.01	2.5
3.74	267.04	0.94	154.0	3	0	145.0	673	4,3,3	0,21.0,119.0	0.33,0.82,0.82	tensor([267.0356,   3.7447])	0.0	2.5
2.51	497.78	0.99	61.0	3	0	238.0	1221	4,4,3	0,21.0,212.0	0.33,0.82,0.82	tensor([497.7762,   2.5081])	0.01	2.5
4.08	219.66	0.91	184.0	3	0	115.0	549	3,4,3	0,11.0,99.0	0.3,0.82,0.82	tensor([219.6633,   4.0783])	0.01	2.5
6.87	109.32	0.85	171.0	5	0	128.0	344	2,3,3,2,4	0,3.0,14.0,53.0,53.0	0.19,0.79,0.82,0.82,0.82	tensor([109.3162,   6.8718])	0.01	2.5
2.84	381.98	0.95	184.0	3	0	115.0	870	3,4,4	0,11.0,99.0	0.3,0.82,0.82	tensor([381.9819,   2.8380])	0.01	2.5
7.43	66.49	0.89	75.0	2	2	224.0	355	4,1,3,3,1,3,4	0,21.0,6.0,29.0,113.0,14.0,36.0	0.33,0.82,0.83,0.82,0.82,0.82,0.82	tensor([66.4922,  7.4324])	0.01	2.5
9.87	40.72	0.96	14.0	5	2	285.0	365	4,3,1,2,1,3,3,3,3,3	0,21.0,119.0,14.0,14.0,5.0,10.0,17.0,30.0,50.0	0.33,0.82,0.82,0.82,0.82,0.83,0.81,0.82,0.82,0.82	tensor([40.7220,  9.8679])	0.01	2.5
6.54	149.48	0.89	168.0	3	1	131.0	426	3,1,3,4,3	0,11.0,5.0,18.0,92.0	0.3,0.82,0.80,0.82,0.82	tensor([149.4808,   6.5365])	0.01	2.5
6.23	95.88	0.84	159.0	4	4	140.0	329	3,3,1,1,1,1,3,4,4,4	0,11.0,56.0,10.0,4.0,2.0,2.0,3.0,9.0,38.0	0.3,0.82,0.82,0.83,0.83,0.84,0.78,0.84,0.82,0.82	tensor([95.8808,  6.2344])	0.01	2.5
6.22	146.29	0.9	146.0	5	0	153.0	442	4,2,2,3,3	0,21.0,21.0,21.0,85.0	0.33,0.82,0.82,0.82,0.82	tensor([146.2922,   6.2160])	0.01	2.5
1.27	871.39	0.99	61.0	3	0	238.0	1960	4,4,4	0,21.0,212.0	0.33,0.82,0.82	tensor([871.3927,   1.2678])	0.01	2.5
7.5	63.44	0.95	28.0	2	1	271.0	396	1,3,3,3,3,1,4,4	0,2.0,7.0,21.0,55.0,131.0,15.0,35.0	0.19,0.83,0.82,0.82,0.82,0.82,0.82,0.82	tensor([63.4371,  7.4951])	0.02	2.5
7.19	100.05	0.82	194.0	3	1	105.0	303	1,4,1,4,4,3	0,2.0,12.0,5.0,15.0,66.0	0.19,0.83,0.82,0.81,0.82,0.82	tensor([100.0517,   7.1903])	0.01	2.5
3.74	353.07	0.99	36.0	2	1	263.0	961	4,3,1,4,4	0,21.0,119.0,14.0,104.0	0.33,0.82,0.82,0.82,0.82	tensor([353.0662,   3.7429])	0.01	2.5
10.0	14.58	0.91	13.0	4	2	286.0	315	1,4,3,2,1,2,4,3,1,3,3,2,2	0,2.0,12.0,44.0,44.0,9.0,9.0,22.0,54.0,10.0,17.0,29.0,29.0	0.19,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82	tensor([14.5843, 10.0000])	0.02	2.5
8.7	67.6	0.95	33.0	5	5	266.0	400	1,3,1,1,3,2,4,3,1,2,3,3,1,1,3,4,4,2,3	0,2.0,7.0,3.0,2.0,4.0,4.0,11.0,28.0,7.0,7.0,13.0,22.0,7.0,3.0,6.0,15.0,60.0,60.0	0.19,0.83,0.82,0.84,0.82,0.82,0.82,0.81,0.82,0.83,0.83,0.82,0.82,0.81,0.83,0.82,0.82,0.82,0.82	tensor([67.6040,  8.7047])	0.03	2.5
4.41	357.5	0.97	86.0	4	0	213.0	919	2,4,4,3	0,3.0,24.0,181.0	0.19,0.79,0.82,0.82	tensor([357.5040,   4.4108])	0.01	2.5
2.84	381.98	0.95	184.0	3	0	115.0	870	3,4,4	0,11.0,99.0	0.3,0.82,0.82	tensor([381.9819,   2.8380])	0.01	2.5
4.08	219.66	0.91	184.0	3	0	115.0	549	3,4,3	0,11.0,99.0	0.3,0.82,0.82	tensor([219.6633,   4.0783])	0.01	2.5
6.88	246.33	0.98	52.0	5	0	247.0	734	2,3,3,3,3	0,3.0,14.0,53.0,172.0	0.19,0.79,0.82,0.82,0.82	tensor([246.3251,   6.8755])	0.01	2.5
6.24	201.37	0.95	99.0	4	4	200.0	598	1,4,2,1,2,1,2,4,1,3,2,1,4,3,4,4	0,2.0,12.0,12.0,5.0,5.0,3.0,3.0,8.0,4.0,7.0,7.0,3.0,9.0,24.0,90.0	0.19,0.83,0.82,0.82,0.81,0.81,0.79,0.79,0.82,0.80,0.82,0.82,0.84,0.81,0.82,0.82	tensor([201.3742,   6.2381])	0.03	2.5
